,0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-07,0.0
2011-11-08,0.0
2011-11-09,0.0
2011-11-10,0.0
2011-11-11,0.0
2011-11-14,0.0
2011-11-15,0.0
2011-11-16,0.0
2011-11-17,0.0
2011-11-18,0.0
2011-11-21,0.0
2011-11-22,0.0
2011-11-23,0.0
2011-11-25,0.0
2011-11-28,0.0
2011-11-29,0.0
2011-11-30,0.0
2011-12-01,0.0
2011-12-02,0.0
2011-12-05,0.0
2011-12-06,0.0
2011-12-07,0.0
2011-12-08,0.0
2011-12-09,0.0
2011-12-12,0.0
2011-12-13,0.0
2011-12-14,0.0
2011-12-15,0.0
2011-12-16,0.0
2011-12-19,0.0
2011-12-20,0.0
2011-12-21,0.0
2011-12-22,0.0
2011-12-23,0.0
2011-12-27,0.0
2011-12-28,0.0
2011-12-29,0.0
2011-12-30,0.0
2012-01-03,-0.005668047578461929
2012-01-04,-0.0023705900895450794
2012-01-05,-0.0046602679310380245
2012-01-06,0.0010165935528374948
2012-01-09,0.006808550840264834
2012-01-10,-0.0037342712563682165
2012-01-11,0.00387346401145641
2012-01-12,-0.006833212784153692
2012-01-13,0.00838198156846603
2012-01-17,0.0032887843257471535
2012-01-18,0.0035983921529270106
2012-01-19,-0.002143243778073339
2012-01-20,-0.003141948349590938
2012-01-23,0.00037465366962748217
2012-01-24,0.007793254394236473
2012-01-25,-0.0017246439000486529
2012-01-26,-0.0012090025480613045
2012-01-27,-0.0022957675736064212
2012-01-30,-0.0012597606222206185
2012-01-31,0.009038125054933628
2012-02-01,-0.004624786318670278
2012-02-02,0.011926317617569957
2012-02-03,-0.002438188516343307
2012-02-06,-1.7862654296162958e-05
2012-02-07,0.002137350676748373
2012-02-08,0.0007208452720760239
2012-02-09,-0.011893663988417996
2012-02-10,0.01016929336599446
2012-02-13,-0.005046898392496226
2012-02-14,-0.00616127147102125
2012-02-15,0.007026174304705291
2012-02-16,0.0010859744092534083
2012-02-17,-0.0014368053900984746
2012-02-21,-0.006977310454027635
2012-02-22,0.003782821546417375
2012-02-23,0.0018708968635503629
2012-02-24,0.002715048474548653
2012-02-27,0.007302853854940098
2012-02-28,-0.004307811232187226
2012-02-29,0.0060148874951005335
2012-03-01,-0.0019443777587949415
2012-03-02,-0.005833630117682531
2012-03-05,-0.012833387140078973
2012-03-06,0.007389036744397424
2012-03-07,0.010823728961746595
2012-03-08,0.005263359263437002
2012-03-09,-0.002149220174576485
2012-03-12,0.018712720309809944
2012-03-13,0.004219548072478225
2012-03-14,0.002498470466426633
2012-03-15,0.0009519611412631848
2012-03-16,0.010003018980864016
2012-03-19,-0.0029289033582711177
2012-03-20,0.003828847629728358
2012-03-21,-0.007325868521966531
2012-03-22,-0.00022366627674882998
2012-03-23,0.01696678249464493
2012-03-26,0.0010797579584782557
2012-03-27,-0.002356827122791437
2012-03-28,-0.0022824029457881867
2012-03-29,-0.0007825820391857651
2012-03-30,0.008354198298124782
2012-04-02,-0.0010555431972255613
2012-04-03,-0.013915986792954582
2012-04-04,0.004488477948458414
2012-04-05,-0.006803278517337752
2012-04-09,-0.0102342488812881
2012-04-10,0.0003480474724255611
2012-04-11,0.011011963545310977
2012-04-12,-0.014252760477234228
2012-04-13,-0.0065516584132150335
2012-04-16,0.01680610866539497
2012-04-17,-0.00713374132637919
2012-04-18,-0.009461129767254637
2012-04-19,0.0030860467686626572
2012-04-20,-0.012804472828852978
2012-04-23,-0.004726349516116518
2012-04-24,0.010167578989778027
2012-04-25,0.008848992548051026
2012-04-26,0.0014420267102399449
2012-04-27,-0.002867182370093026
2012-04-30,0.0076925663311593635
2012-05-01,-0.0008753673021574466
2012-05-02,-0.0038473209804612985
2012-05-03,-0.009221370887126356
2012-05-04,0.0034142382078090503
2012-05-07,-0.0030556543107131693
2012-05-08,-0.002013735310099978
2012-05-09,0.004014333350292533
2012-05-10,0.007413421778296033
2012-05-11,-0.00661160352855312
2012-05-14,-0.0010594042779869296
2012-05-15,-0.0027697087114185314
2012-05-16,0.002042693863605353
2012-05-17,-0.0024614186753194834
2012-05-18,-0.0005809600270242354
2012-05-21,-0.0009448028855078006
2012-05-22,-0.007365092037404402
2012-05-23,0.011066984607680136
2012-05-24,0.001517356105822631
2012-05-25,0.007901546536376994
2012-05-29,-0.0032737349001361817
2012-05-30,0.004046390930460581
2012-05-31,-0.012888464875833061
2012-06-01,0.00529519602718076
2012-06-04,0.0012266265490825656
2012-06-05,0.010305621152931543
2012-06-06,-0.003812214157406641
2012-06-07,0.006223871441048488
2012-06-08,0.002692153338647863
2012-06-11,0.00038134205455884855
2012-06-12,0.0005498427641164889
2012-06-13,0.010493093993577661
2012-06-14,0.0034425576348744227
2012-06-15,0.004024222832795301
2012-06-18,9.044399518515949e-05
2012-06-19,-0.013209600797108662
2012-06-20,-0.005776990116753159
2012-06-21,0.005384834863872973
2012-06-22,-0.006003797902077168
2012-06-25,0.0051374488170040635
2012-06-26,0.0008288100441997681
2012-06-27,-0.00469279437196017
2012-06-28,0.0184142458129299
2012-06-29,0.013184738680532604
2012-07-02,-0.0006460632924429637
2012-07-03,-0.0058150838991809055
2012-07-05,-0.007952752247430693
2012-07-06,0.0025198781616905695
2012-07-09,-0.002442669279579812
2012-07-10,6.798059138546364e-05
2012-07-11,-0.006978536789377166
2012-07-12,0.013176695729344804
2012-07-13,0.0029800431107304534
2012-07-16,0.008887198100883429
2012-07-17,0.004797461573361679
2012-07-18,-0.015654512954175547
2012-07-19,-0.003495046295281342
